epoch	train_loss	dev_loss	train_bleu	dev_bleu	learning_rate	seconds
1	6.610625021683925	5.651163727415915	1.7521558048936168	1.2796443133747741	7.624928516630234e-05	244.8939723968506
2	5.310527104610357	5.171704618987401	3.837068957483835	2.8841782561211184	5.3916386601719215e-05	249.73878288269043
3	4.9864165850706295	4.929361615492947	5.734803873197062	4.110965307786713	4.402254531628119e-05	243.05922412872314
4	4.813366493357449	4.791451617400565	6.153272314194759	4.56163366012228	3.812464258315117e-05	242.4489140510559
5	4.706356660652258	4.7019746266396245	7.0576354569577235	5.217006897045774	3.4099716973523676e-05	243.58287501335144
6	4.632473989786824	4.639202098038963	7.683511395830651	5.594103098200313	3.112864031823452e-05	241.47424793243408
7	4.579758469008457	4.5972163792831	7.997423388131525	5.781514569436926	2.8819520885211747e-05	246.72327756881714
8	4.540248405490704	4.560162520530975	8.59563210770942	6.094133363832175	2.6958193300859607e-05	248.3523828983307
