epoch	train_loss	dev_loss	train_bleu	dev_bleu	learning_rate	seconds
1	9.222279098795651	8.691227916664921	0.004875557006854364	0.004655489329285964	7.624928516630233e-07	234.7474718093872
2	8.348627749157124	8.09663689963859	0.003638001424763692	0.003597952955456749	5.391638660171921e-07	234.03903222084045
3	7.902326318139671	7.808858125985166	0.002198762904913868	0.002179961303760306	4.402254531628119e-07	235.89161944389343
4	7.671794920063223	7.652687345306563	0.002003528125303336	0.001955149541673469	3.8124642583151166e-07	233.93530297279358
5	7.545373942052158	7.56582033037757	0.007643021836054737	0.007787415773960588	3.409971697352367e-07	234.41932082176208
6	7.470356842737788	7.502058113607709	0.0018642543515348573	0.0016399887163902436	3.112864031823452e-07	234.25225162506104
7	7.4110774868593134	7.448429068745215	0.0018529860017115144	0.0015875572514703602	2.8819520885211746e-07	233.95292949676514
8	7.358298580485056	7.396683485191399	0.001837884391028807	0.0015643114339368577	2.6958193300859604e-07	234.6259572505951
