epoch	train_loss	dev_loss	train_bleu	dev_bleu	learning_rate	seconds
1	6.008810420990073	4.93830042452748	5.106246352207229	3.4663614001979726	0.000228747855498907	248.22503662109375
2	4.5832170338563	4.348301003788281	10.683680002694146	7.802227197646142	0.00016174915980515762	244.35491681098938
3	4.180266256561771	4.05434449017239	13.669849429285954	10.858867478383386	0.00013206763594884356	245.77632522583008
4	3.961377492488415	3.8858092580872365	15.593090741742644	12.341344563118234	0.0001143739277494535	245.10519218444824
5	3.821779139790772	3.794343637250187	17.071532546481663	13.665125122525907	0.00010229915092057102	240.39322805404663
6	3.7235173338987826	3.727125878743899	17.96422207504209	14.612126264040173	9.338592095470354e-05	240.91925740242004
7	3.649254605446467	3.6698081130473716	18.80002415385028	14.618648031149368	8.645856265563524e-05	245.98900032043457
8	3.5907716527738662	3.631340889910844	19.261228102053945	15.486445047669234	8.087457990257881e-05	238.29108476638794
9	3.5427787598163394	3.600620298396325	20.045231464756295	15.467070811175143	7.624928516630232e-05	242.47637557983398
10	3.502562043814737	3.5671728337093986	20.26842656060245	16.132226569783963	7.233642332556181e-05	243.43326354026794
