epoch	train_loss	dev_loss	train_bleu	dev_bleu	learning_rate	seconds
1	7.974218552116355	6.999885038353833	0.018095515410220454	0.014541633362479213	7.624928516630234e-06	235.2094955444336
2	6.6706109778166365	6.5878401904629165	0.39718954332150097	0.24383894956479685	5.391638660171922e-06	232.8899211883545
3	6.385136005386108	6.39085219290258	0.4489102677184234	0.24566564580423436	4.4022545316281195e-06	233.676274061203
4	6.223140088038901	6.264629558174177	0.4686226846532517	0.49498398598695204	3.812464258315117e-06	233.82543754577637
5	6.112562088241486	6.173118239415617	0.7314174274655832	0.5944820556663584	3.409971697352368e-06	233.6259958744049
6	6.030177260480737	6.100129079008195	1.1076790269816086	0.7008715514962176	3.112864031823452e-06	233.34488344192505
7	5.965177377255483	6.040040460376115	1.3963539762643833	0.8803586594057731	2.881952088521175e-06	233.4743835926056
8	5.9106120599921175	5.9893542831719415	1.3248728673760226	1.0054129227503206	2.695819330085961e-06	234.3000066280365
