GPU: NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition
Train: 880,572, Dev: 1,166
Initialized from: models/97_tuning/bs64_lr1em03_adamw/best_model.pt
Epoch 01 | 06100/13759 | loss 3.7087 | ppl 40.80 | lr 8.588975e-06 | 198.5s
Epoch 01 | 06200/13759 | loss 3.7083 | ppl 40.78 | lr 8.519428e-06 | 201.7s
Epoch 01 | 06300/13759 | loss 3.7079 | ppl 40.77 | lr 8.451543e-06 | 205.0s
Epoch 01 | 06400/13759 | loss 3.7077 | ppl 40.76 | lr 8.385255e-06 | 208.2s
Epoch 01 | 06500/13759 | loss 3.7069 | ppl 40.73 | lr 8.320503e-06 | 211.5s
Epoch 01 | 06600/13759 | loss 3.7061 | ppl 40.70 | lr 8.257228e-06 | 214.7s
Epoch 01 | 06700/13759 | loss 3.7054 | ppl 40.66 | lr 8.195375e-06 | 218.0s
Epoch 01 | 06800/13759 | loss 3.7047 | ppl 40.64 | lr 8.134892e-06 | 221.2s
Epoch 01 | 06900/13759 | loss 3.7041 | ppl 40.61 | lr 8.075729e-06 | 224.4s
Epoch 01 | 07000/13759 | loss 3.7035 | ppl 40.59 | lr 8.017837e-06 | 227.7s
Epoch 01 | 07100/13759 | loss 3.7030 | ppl 40.57 | lr 7.961173e-06 | 231.0s
Epoch 01 | 07200/13759 | loss 3.7026 | ppl 40.55 | lr 7.905694e-06 | 234.2s
Epoch 01 | 07300/13759 | loss 3.7017 | ppl 40.52 | lr 7.851359e-06 | 237.4s
Epoch 01 | 07400/13759 | loss 3.7010 | ppl 40.49 | lr 7.798129e-06 | 240.7s
Epoch 01 | 07500/13759 | loss 3.7002 | ppl 40.46 | lr 7.745967e-06 | 243.9s
Epoch 01 | 07600/13759 | loss 3.6995 | ppl 40.43 | lr 7.694838e-06 | 247.1s
Epoch 01 | 07700/13759 | loss 3.6988 | ppl 40.40 | lr 7.644708e-06 | 250.4s
Epoch 01 | 07800/13759 | loss 3.6982 | ppl 40.37 | lr 7.595545e-06 | 253.6s
Epoch 01 | 07900/13759 | loss 3.6978 | ppl 40.36 | lr 7.547319e-06 | 256.8s
Epoch 01 | 08000/13759 | loss 3.6974 | ppl 40.34 | lr 7.5e-06 | 260.0s
Epoch 01 | 08100/13759 | loss 3.6970 | ppl 40.33 | lr 7.45356e-06 | 263.3s
Epoch 01 | 08200/13759 | loss 3.6966 | ppl 40.31 | lr 7.407972e-06 | 266.5s
Epoch 01 | 08300/13759 | loss 3.6962 | ppl 40.29 | lr 7.36321e-06 | 269.8s
Epoch 01 | 08400/13759 | loss 3.6956 | ppl 40.27 | lr 7.319251e-06 | 273.1s
Epoch 01 | 08500/13759 | loss 3.6953 | ppl 40.26 | lr 7.276069e-06 | 276.3s
Epoch 01 | 08600/13759 | loss 3.6947 | ppl 40.24 | lr 7.233642e-06 | 279.5s
Epoch 01 | 08700/13759 | loss 3.6943 | ppl 40.22 | lr 7.19195e-06 | 282.8s
Epoch 01 | 08800/13759 | loss 3.6938 | ppl 40.20 | lr 7.150969e-06 | 286.1s
Epoch 01 | 08900/13759 | loss 3.6934 | ppl 40.18 | lr 7.110682e-06 | 289.3s
Epoch 01 | 09000/13759 | loss 3.6929 | ppl 40.16 | lr 7.071068e-06 | 292.6s
Epoch 01 | 09100/13759 | loss 3.6924 | ppl 40.14 | lr 7.032108e-06 | 295.8s
Epoch 01 | 09200/13759 | loss 3.6919 | ppl 40.12 | lr 6.993786e-06 | 298.9s
Epoch 01 | 09300/13759 | loss 3.6918 | ppl 40.12 | lr 6.956083e-06 | 302.1s
Epoch 01 | 09400/13759 | loss 3.6914 | ppl 40.10 | lr 6.918984e-06 | 305.4s
Epoch 01 | 09500/13759 | loss 3.6910 | ppl 40.08 | lr 6.882472e-06 | 308.6s
Epoch 01 | 09600/13759 | loss 3.6906 | ppl 40.07 | lr 6.846532e-06 | 311.8s
Epoch 01 | 09700/13759 | loss 3.6905 | ppl 40.06 | lr 6.811149e-06 | 315.0s
Epoch 01 | 09800/13759 | loss 3.6902 | ppl 40.05 | lr 6.776309e-06 | 318.2s
Epoch 01 | 09900/13759 | loss 3.6897 | ppl 40.03 | lr 6.741999e-06 | 321.5s
Epoch 01 | 10000/13759 | loss 3.6892 | ppl 40.01 | lr 6.708204e-06 | 324.5s
Epoch 01 | 10100/13759 | loss 3.6889 | ppl 40.00 | lr 6.674912e-06 | 327.8s
Epoch 01 | 10200/13759 | loss 3.6886 | ppl 39.99 | lr 6.642112e-06 | 331.0s
Epoch 01 | 10300/13759 | loss 3.6883 | ppl 39.98 | lr 6.60979e-06 | 334.2s
Epoch 01 | 10400/13759 | loss 3.6881 | ppl 39.97 | lr 6.577935e-06 | 337.6s
Epoch 01 | 10500/13759 | loss 3.6877 | ppl 39.95 | lr 6.546537e-06 | 340.8s
Epoch 01 | 10600/13759 | loss 3.6874 | ppl 39.94 | lr 6.515584e-06 | 344.0s
Epoch 01 | 10700/13759 | loss 3.6869 | ppl 39.92 | lr 6.485066e-06 | 347.2s
Epoch 01 | 10800/13759 | loss 3.6867 | ppl 39.91 | lr 6.454972e-06 | 350.3s
Epoch 01 | 10900/13759 | loss 3.6861 | ppl 39.89 | lr 6.425294e-06 | 353.4s
Epoch 01 | 11000/13759 | loss 3.6858 | ppl 39.88 | lr 6.396021e-06 | 356.5s
Epoch 01 | 11100/13759 | loss 3.6856 | ppl 39.87 | lr 6.367145e-06 | 359.8s
Epoch 01 | 11200/13759 | loss 3.6853 | ppl 39.86 | lr 6.338657e-06 | 363.0s
Epoch 01 | 11300/13759 | loss 3.6850 | ppl 39.84 | lr 6.310547e-06 | 366.3s
Epoch 01 | 11400/13759 | loss 3.6845 | ppl 39.83 | lr 6.282809e-06 | 369.5s
Epoch 01 | 11500/13759 | loss 3.6843 | ppl 39.82 | lr 6.255432e-06 | 372.8s
Epoch 01 | 11600/13759 | loss 3.6841 | ppl 39.81 | lr 6.228411e-06 | 376.0s
Epoch 01 | 11700/13759 | loss 3.6837 | ppl 39.79 | lr 6.201737e-06 | 379.2s
Epoch 01 | 11800/13759 | loss 3.6834 | ppl 39.78 | lr 6.175402e-06 | 382.5s
Epoch 01 | 11900/13759 | loss 3.6831 | ppl 39.77 | lr 6.1494e-06 | 385.5s
Epoch 01 | 12000/13759 | loss 3.6828 | ppl 39.76 | lr 6.123724e-06 | 388.6s
Epoch 01 | 12100/13759 | loss 3.6825 | ppl 39.75 | lr 6.098367e-06 | 391.8s
Epoch 01 | 12200/13759 | loss 3.6823 | ppl 39.74 | lr 6.073322e-06 | 395.1s
Epoch 01 | 12300/13759 | loss 3.6818 | ppl 39.72 | lr 6.048584e-06 | 398.3s
Epoch 01 | 12400/13759 | loss 3.6816 | ppl 39.71 | lr 6.024145e-06 | 401.5s
Epoch 01 | 12500/13759 | loss 3.6815 | ppl 39.70 | lr 6e-06 | 404.6s
Epoch 01 | 12600/13759 | loss 3.6812 | ppl 39.69 | lr 5.976143e-06 | 407.7s
Epoch 01 | 12700/13759 | loss 3.6809 | ppl 39.68 | lr 5.952568e-06 | 411.0s
Epoch 01 | 12800/13759 | loss 3.6808 | ppl 39.68 | lr 5.929271e-06 | 414.2s
Epoch 01 | 12900/13759 | loss 3.6806 | ppl 39.67 | lr 5.906244e-06 | 417.4s
Epoch 01 | 13000/13759 | loss 3.6803 | ppl 39.66 | lr 5.883484e-06 | 420.6s
Epoch 01 | 13100/13759 | loss 3.6800 | ppl 39.65 | lr 5.860985e-06 | 423.7s
Epoch 01 | 13200/13759 | loss 3.6798 | ppl 39.64 | lr 5.838742e-06 | 426.9s
Epoch 01 | 13300/13759 | loss 3.6797 | ppl 39.63 | lr 5.816751e-06 | 430.1s
Epoch 01 | 13400/13759 | loss 3.6795 | ppl 39.63 | lr 5.795006e-06 | 433.3s
Epoch 01 | 13500/13759 | loss 3.6791 | ppl 39.61 | lr 5.773503e-06 | 436.6s
Epoch 01 | 13600/13759 | loss 3.6787 | ppl 39.60 | lr 5.752237e-06 | 439.8s
Epoch 01 | 13700/13759 | loss 3.6785 | ppl 39.59 | lr 5.731205e-06 | 443.0s
/data/student/i2311021/conda_envs/100-swing-drill-gpu/lib/python3.10/site-packages/torch/nn/modules/transformer.py:531: UserWarning: The PyTorch API of nested tensors is in prototype stage and will change in the near future. We recommend specifying layout=torch.jagged when constructing a nested tensor, as this layout receives active development, has better operator coverage, and works with torch.compile. (Triggered internally at /pytorch/aten/src/ATen/NestedTensorImpl.cpp:178.)
  output = torch._nested_tensor_from_mask(
Epoch 01 complete | train loss 3.6784 | dev loss 3.4669 | train BLEU 15.61 | dev BLEU 17.34 | 450.8s
Epoch 02 | 00100/13759 | loss 3.6143 | ppl 37.13 | lr 5.698234e-06 | 3.3s
Epoch 02 | 00200/13759 | loss 3.6161 | ppl 37.19 | lr 5.677787e-06 | 6.6s
Epoch 02 | 00300/13759 | loss 3.6170 | ppl 37.22 | lr 5.657558e-06 | 9.8s
Epoch 02 | 00400/13759 | loss 3.6284 | ppl 37.65 | lr 5.637544e-06 | 13.0s
Epoch 02 | 00500/13759 | loss 3.6307 | ppl 37.74 | lr 5.617741e-06 | 16.0s
Epoch 02 | 00600/13759 | loss 3.6343 | ppl 37.87 | lr 5.598145e-06 | 19.2s
Epoch 02 | 00700/13759 | loss 3.6322 | ppl 37.79 | lr 5.578753e-06 | 22.3s
Epoch 02 | 00800/13759 | loss 3.6336 | ppl 37.85 | lr 5.559561e-06 | 25.3s
Epoch 02 | 00900/13759 | loss 3.6344 | ppl 37.88 | lr 5.540565e-06 | 28.4s
Epoch 02 | 01000/13759 | loss 3.6324 | ppl 37.80 | lr 5.521763e-06 | 31.7s
Epoch 02 | 01100/13759 | loss 3.6332 | ppl 37.83 | lr 5.503151e-06 | 34.9s
Epoch 02 | 01200/13759 | loss 3.6306 | ppl 37.73 | lr 5.484726e-06 | 38.1s
Epoch 02 | 01300/13759 | loss 3.6310 | ppl 37.75 | lr 5.466485e-06 | 41.4s
Epoch 02 | 01400/13759 | loss 3.6312 | ppl 37.76 | lr 5.448425e-06 | 44.6s
Epoch 02 | 01500/13759 | loss 3.6322 | ppl 37.80 | lr 5.430543e-06 | 47.9s
Epoch 02 | 01600/13759 | loss 3.6321 | ppl 37.79 | lr 5.412835e-06 | 51.1s
Epoch 02 | 01700/13759 | loss 3.6300 | ppl 37.71 | lr 5.3953e-06 | 54.4s
Epoch 02 | 01800/13759 | loss 3.6297 | ppl 37.70 | lr 5.377933e-06 | 57.7s
