epoch	train_loss	dev_loss	train_bleu	dev_bleu	learning_rate	seconds
1	6.62436143612461	5.449662957105827	2.528700602771071	1.7365940846125794	0.000258	126.17755794525146
2	4.893458693893982	4.548503886406968	8.469003582111451	6.091356520199885	0.000228747855498907	124.39115285873413
3	4.328527687638523	4.155513963200788	12.336486161476913	9.506725229944182	0.0001867718419094071	124.38283586502075
4	4.041296952975106	3.942184876470401	14.445209755796496	11.553940783934136	0.00016174915980515762	123.36853504180908
5	3.8628077196326167	3.8233149524680154	16.98432259700484	13.240619538841138	0.00014467284665112363	123.215740442276
6	3.7403511380972083	3.737257569458639	18.326597987531365	13.9211312562391	0.00013206763594884356	123.53238582611084
7	3.6493867653811063	3.677539973277324	18.74469839577762	14.863210956237026	0.00012227087189088336	122.83854031562805
8	3.5786944275367674	3.635789272837183	19.113099900731765	15.401018949916248	0.0001143739277494535	123.45475339889526
