country	x	y
Afghanistan	0.24772262573242188	6.354745864868164
Albania	8.514169692993164	3.1718239784240723
Algeria	-4.4658613204956055	4.942716598510742
Angola	-6.12347936630249	1.7837194204330444
Armenia	8.22502326965332	-1.7206491231918335
Australia	2.782351493835449	7.673923969268799
Austria	5.897804260253906	5.400383472442627
Azerbaijan	7.773789405822754	-2.2993369102478027
Bahamas	-2.203895092010498	-2.9717652797698975
Bahrain	-3.5483450889587402	8.958646774291992
Bangladesh	-5.765125274658203	-3.333940267562866
Belarus	6.731051921844482	-1.1747909784317017
Belgium	4.221503734588623	6.022640705108643
Belize	-1.7139047384262085	-2.3520658016204834
Bhutan	-6.037312030792236	-5.3917694091796875
Botswana	-7.943751811981201	0.41597938537597656
Bulgaria	7.452030658721924	2.2941229343414307
Burundi	-10.607382774353027	2.776319980621338
Canada	3.5580039024353027	7.605865955352783
Chile	0.40894773602485657	2.051352024078369
China	2.3712453842163086	10.055140495300293
Croatia	9.853760719299316	1.9009405374526978
Cuba	0.6815512776374817	-0.8255192637443542
Cyprus	9.681414604187012	4.62629508972168
Denmark	5.389321327209473	8.275405883789062
Dominica	-2.225714921951294	-1.828700065612793
Ecuador	0.241865336894989	0.9777581095695496
Egypt	-2.9903059005737305	5.599540710449219
England	7.076695442199707	6.423005104064941
Eritrea	-10.427618026733398	4.988285541534424
Estonia	7.892841339111328	0.7485620379447937
Fiji	-1.1567093133926392	-5.586541652679443
Finland	6.578151226043701	7.995680809020996
France	3.7992732524871826	5.585331916809082
Gabon	-5.571115016937256	2.977353572845459
Gambia	-7.686682224273682	3.1288602352142334
Georgia	4.718692302703857	-0.5485280156135559
Germany	5.223509788513184	5.502702713012695
Ghana	-8.19076919555664	2.294673204421997
Greece	4.455379486083984	2.7413558959960938
Greenland	5.967642307281494	9.993471145629883
Guinea	-4.751223087310791	2.891576051712036
Guyana	-3.3514020442962646	-1.493700385093689
Honduras	-0.6709862351417542	0.4077584147453308
Hungary	6.740863800048828	3.5880463123321533
Indonesia	0.14029672741889954	9.067902565002441
Iran	-0.8827930688858032	4.59567928314209
Iraq	0.04817712679505348	6.3336968421936035
Ireland	7.5771098136901855	5.782260894775391
Italy	4.461119174957275	4.534782886505127
Jamaica	-2.797818660736084	-2.151292324066162
Japan	2.5065951347351074	9.203660011291504
Jordan	-2.3493006229400635	7.205733776092529
Kazakhstan	6.518579483032227	-2.509733200073242
Kenya	-9.749707221984863	0.9750139713287354
Kyrgyzstan	5.637119293212891	-4.282394886016846
Laos	-0.22911693155765533	10.69355297088623
Latvia	7.513463020324707	0.9983837604522705
Lebanon	-1.4452170133590698	6.181598663330078
Liberia	-9.626870155334473	3.071714401245117
Libya	-2.4227211475372314	4.156982421875
Liechtenstein	8.801000595092773	7.867030143737793
Lithuania	6.954250812530518	1.226456642150879
Macedonia	9.260467529296875	3.080610513687134
Madagascar	-4.712563991546631	1.7468734979629517
Malawi	-9.216320037841797	-0.08420391380786896
Mali	-6.1925153732299805	4.233168125152588
Malta	9.638792037963867	5.317582607269287
Mauritania	-5.918656349182129	5.650720596313477
Moldova	7.776224613189697	-0.5701537132263184
Montenegro	10.655282020568848	2.5032989978790283
Morocco	-4.103356838226318	5.621528148651123
Mozambique	-6.427095890045166	1.0539618730545044
Namibia	-7.264185905456543	0.1505316197872162
Nepal	-6.036890983581543	-5.350496768951416
Nicaragua	-0.1631605327129364	0.01004736963659525
Niger	-7.662519454956055	5.356229782104492
Nigeria	-8.328192710876465	2.397688150405884
Norway	5.723479270935059	8.810832023620605
Oman	-3.5020554065704346	8.722121238708496
Pakistan	-5.726261615753174	-3.25773024559021
Peru	-0.006910027004778385	1.559282898902893
Philippines	0.8037960529327393	8.882818222045898
Poland	6.232638359069824	3.12206768989563
Portugal	3.184053659439087	3.581679344177246
Qatar	-3.98957896232605	8.807626724243164
Romania	7.168021202087402	2.852287530899048
Russia	5.759012699127197	-0.6628732681274414
Rwanda	-10.880815505981445	2.1991124153137207
Samoa	-1.0652052164077759	-5.975301742553711
Senegal	-6.000065803527832	4.013868808746338
Serbia	10.559831619262695	1.425169825553894
Slovakia	8.467954635620117	1.8001118898391724
Slovenia	9.256978988647461	1.4955332279205322
Somalia	-10.892176628112793	5.894650936126709
Spain	3.1939291954040527	4.2364325523376465
Sudan	-10.295329093933105	4.707928657531738
Suriname	-3.647907018661499	-0.6371657252311707
Sweden	6.005712509155273	7.992496013641357
Switzerland	5.5572614669799805	6.3761749267578125
Syria	-1.1548166275024414	5.073435306549072
Taiwan	2.503699779510498	10.501363754272461
Tajikistan	6.419824123382568	-3.8716068267822266
Thailand	0.13019871711730957	9.712807655334473
Tunisia	-3.393552541732788	5.1354475021362305
Turkey	5.144222736358643	1.4396101236343384
Turkmenistan	7.413569927215576	-3.550025463104248
Tuvalu	-0.01118557807058096	-4.478760242462158
Uganda	-9.597489356994629	1.429877519607544
Ukraine	6.62376594543457	-0.6580400466918945
Uruguay	1.6531561613082886	2.3682141304016113
Uzbekistan	6.0949177742004395	-3.2420952320098877
Venezuela	0.7375317215919495	0.044746048748493195
Vietnam	0.27386727929115295	11.080621719360352
Zambia	-8.285319328308105	0.6141555905342102
Zimbabwe	-8.310343742370605	-0.865780770778656
