epoch	train_loss	dev_loss	train_bleu	dev_bleu	learning_rate	seconds
1	5.532201395696126	4.685976164948107	8.258076026303412	5.831444511603573	0.0007624928516630234	236.0093114376068
2	4.52303468014742	4.372874766148536	10.033905440939886	7.2276425023457564	0.0005391638660171921	233.40979838371277
3	4.369687835368574	4.258125693879118	10.519384561504333	8.090942357161722	0.00044022545316281194	235.41662430763245
4	4.29756424317709	4.179884812050404	11.712128279844084	8.654520712928832	0.0003812464258315117	235.9229850769043
5	4.253338714825331	4.135151881648609	12.158627750864815	9.362418311293172	0.00034099716973523677	235.27692413330078
6	4.2249903139441845	4.100331661324994	12.71817366019818	9.889830027628701	0.0003112864031823452	234.450501203537
7	4.204990839835948	4.094331296611245	12.419908155863148	10.226169159696875	0.0002881952088521175	235.3693401813507
8	4.190633230732953	4.081549927620952	12.19543735409635	9.705413693178745	0.0002695819330085961	234.47149777412415
