GPU: NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition
Train: 440,286, Dev: 1,166
Epoch 01 | 00100/06880 | loss 9.6121 | ppl 14944.70 | lr 7.5e-06 | 4.2s
Epoch 01 | 05800/06880 | loss 6.1971 | ppl 491.34 | lr 0.0002491364 | 190.4s
Epoch 01 | 05900/06880 | loss 6.1782 | ppl 482.12 | lr 0.0002470161 | 193.6s
Epoch 01 | 06000/06880 | loss 6.1596 | ppl 473.22 | lr 0.000244949 | 196.9s
Epoch 01 | 06100/06880 | loss 6.1414 | ppl 464.70 | lr 0.0002429329 | 200.2s
Epoch 01 | 06200/06880 | loss 6.1232 | ppl 456.33 | lr 0.0002409658 | 203.5s
Epoch 01 | 06300/06880 | loss 6.1055 | ppl 448.32 | lr 0.0002390457 | 206.7s
Epoch 01 | 06400/06880 | loss 6.0880 | ppl 440.52 | lr 0.0002371708 | 209.8s
Epoch 01 | 06500/06880 | loss 6.0707 | ppl 432.99 | lr 0.0002353394 | 213.0s
Epoch 01 | 06600/06880 | loss 6.0539 | ppl 425.79 | lr 0.0002335497 | 216.3s
Epoch 01 | 06700/06880 | loss 6.0376 | ppl 418.89 | lr 0.0002318002 | 219.5s
Epoch 01 | 06800/06880 | loss 6.0212 | ppl 412.08 | lr 0.0002300895 | 222.8s
/data/student/i2311021/conda_envs/100-swing-drill-gpu/lib/python3.10/site-packages/torch/nn/modules/transformer.py:531: UserWarning: The PyTorch API of nested tensors is in prototype stage and will change in the near future. We recommend specifying layout=torch.jagged when constructing a nested tensor, as this layout receives active development, has better operator coverage, and works with torch.compile. (Triggered internally at /pytorch/aten/src/ATen/NestedTensorImpl.cpp:178.)
  output = torch._nested_tensor_from_mask(
Epoch 01 complete | train loss 6.0088 | dev loss 4.9383 | train BLEU 5.11 | dev BLEU 3.47 | 237.5s
Epoch 02 | 00100/06880 | loss 4.8670 | ppl 129.93 | lr 0.0002271033 | 3.4s
Epoch 02 | 00200/06880 | loss 4.8624 | ppl 129.34 | lr 0.0002254938 | 6.8s
Epoch 02 | 00300/06880 | loss 4.8504 | ppl 127.79 | lr 0.000223918 | 10.1s
Epoch 02 | 00400/06880 | loss 4.8457 | ppl 127.19 | lr 0.0002223748 | 13.4s
Epoch 02 | 00500/06880 | loss 4.8462 | ppl 127.25 | lr 0.0002208631 | 16.9s
Epoch 02 | 00600/06880 | loss 4.8443 | ppl 127.02 | lr 0.0002193817 | 20.3s
Epoch 02 | 00700/06880 | loss 4.8378 | ppl 126.19 | lr 0.0002179298 | 23.9s
Epoch 02 | 00800/06880 | loss 4.8345 | ppl 125.78 | lr 0.0002165064 | 27.4s
Epoch 02 | 00900/06880 | loss 4.8290 | ppl 125.09 | lr 0.0002151104 | 31.0s
Epoch 02 | 01000/06880 | loss 4.8240 | ppl 124.47 | lr 0.0002137411 | 34.4s
Epoch 02 | 01100/06880 | loss 4.8189 | ppl 123.82 | lr 0.0002123977 | 37.7s
Epoch 02 | 01200/06880 | loss 4.8148 | ppl 123.32 | lr 0.0002110793 | 41.2s
Epoch 02 | 01300/06880 | loss 4.8111 | ppl 122.86 | lr 0.0002097851 | 44.7s
Epoch 02 | 01400/06880 | loss 4.8067 | ppl 122.33 | lr 0.0002085144 | 48.2s
Epoch 02 | 01500/06880 | loss 4.8030 | ppl 121.87 | lr 0.0002072666 | 51.7s
Epoch 02 | 01600/06880 | loss 4.7975 | ppl 121.20 | lr 0.0002060408 | 55.3s
Epoch 02 | 01700/06880 | loss 4.7932 | ppl 120.68 | lr 0.0002048366 | 58.8s
Epoch 02 | 01800/06880 | loss 4.7884 | ppl 120.10 | lr 0.0002036533 | 62.4s
Epoch 02 | 01900/06880 | loss 4.7828 | ppl 119.44 | lr 0.0002024902 | 66.0s
Epoch 02 | 02000/06880 | loss 4.7785 | ppl 118.92 | lr 0.0002013468 | 69.6s
Epoch 02 | 02100/06880 | loss 4.7730 | ppl 118.28 | lr 0.0002002226 | 73.1s
Epoch 02 | 02200/06880 | loss 4.7687 | ppl 117.77 | lr 0.000199117 | 76.4s
Epoch 02 | 02300/06880 | loss 4.7635 | ppl 117.16 | lr 0.0001980295 | 79.7s
Epoch 02 | 02400/06880 | loss 4.7588 | ppl 116.60 | lr 0.0001969596 | 83.2s
Epoch 02 | 02500/06880 | loss 4.7542 | ppl 116.07 | lr 0.0001959069 | 86.7s
Epoch 02 | 02600/06880 | loss 4.7488 | ppl 115.45 | lr 0.0001948709 | 90.1s
Epoch 02 | 02700/06880 | loss 4.7445 | ppl 114.95 | lr 0.0001938512 | 93.8s
Epoch 02 | 02800/06880 | loss 4.7401 | ppl 114.45 | lr 0.0001928473 | 97.3s
Epoch 02 | 02900/06880 | loss 4.7354 | ppl 113.90 | lr 0.0001918588 | 100.9s
Epoch 02 | 03000/06880 | loss 4.7306 | ppl 113.36 | lr 0.0001908854 | 104.4s
Epoch 02 | 03100/06880 | loss 4.7263 | ppl 112.87 | lr 0.0001899267 | 107.8s
Epoch 02 | 03200/06880 | loss 4.7220 | ppl 112.39 | lr 0.0001889822 | 111.4s
Epoch 02 | 03300/06880 | loss 4.7181 | ppl 111.95 | lr 0.0001880517 | 114.8s
Epoch 02 | 03400/06880 | loss 4.7140 | ppl 111.50 | lr 0.0001871349 | 118.2s
Epoch 02 | 03500/06880 | loss 4.7097 | ppl 111.02 | lr 0.0001862313 | 121.8s
Epoch 02 | 03600/06880 | loss 4.7059 | ppl 110.60 | lr 0.0001853406 | 125.5s
Epoch 02 | 03700/06880 | loss 4.7016 | ppl 110.13 | lr 0.0001844626 | 129.1s
Epoch 02 | 03800/06880 | loss 4.6976 | ppl 109.68 | lr 0.000183597 | 132.3s
Epoch 02 | 03900/06880 | loss 4.6932 | ppl 109.20 | lr 0.0001827435 | 135.8s
Epoch 02 | 04000/06880 | loss 4.6895 | ppl 108.80 | lr 0.0001819017 | 139.2s
Epoch 02 | 04100/06880 | loss 4.6857 | ppl 108.39 | lr 0.0001810715 | 142.5s
Epoch 02 | 04200/06880 | loss 4.6815 | ppl 107.93 | lr 0.0001802525 | 145.8s
Epoch 02 | 04300/06880 | loss 4.6770 | ppl 107.45 | lr 0.0001794446 | 149.2s
Epoch 02 | 04400/06880 | loss 4.6732 | ppl 107.04 | lr 0.0001786474 | 152.5s
Epoch 02 | 04500/06880 | loss 4.6691 | ppl 106.60 | lr 0.0001778608 | 155.7s
Epoch 02 | 04600/06880 | loss 4.6658 | ppl 106.25 | lr 0.0001770844 | 159.0s
Epoch 02 | 04700/06880 | loss 4.6619 | ppl 105.84 | lr 0.0001763181 | 162.3s
Epoch 02 | 04800/06880 | loss 4.6584 | ppl 105.47 | lr 0.0001755617 | 165.5s
Epoch 02 | 04900/06880 | loss 4.6545 | ppl 105.06 | lr 0.000174815 | 168.8s
Epoch 02 | 05000/06880 | loss 4.6504 | ppl 104.62 | lr 0.0001740777 | 172.0s
Epoch 02 | 05100/06880 | loss 4.6466 | ppl 104.22 | lr 0.0001733496 | 175.4s
Epoch 02 | 05200/06880 | loss 4.6429 | ppl 103.85 | lr 0.0001726306 | 178.7s
Epoch 02 | 05300/06880 | loss 4.6393 | ppl 103.47 | lr 0.0001719205 | 182.1s
Epoch 02 | 05400/06880 | loss 4.6356 | ppl 103.09 | lr 0.000171219 | 185.4s
Epoch 02 | 05500/06880 | loss 4.6318 | ppl 102.70 | lr 0.0001705261 | 188.8s
Epoch 02 | 05600/06880 | loss 4.6281 | ppl 102.32 | lr 0.0001698416 | 192.1s
Epoch 02 | 05700/06880 | loss 4.6243 | ppl 101.93 | lr 0.0001691652 | 195.8s
Epoch 02 | 05800/06880 | loss 4.6205 | ppl 101.54 | lr 0.0001684968 | 199.2s
Epoch 02 | 05900/06880 | loss 4.6171 | ppl 101.20 | lr 0.0001678363 | 202.7s
Epoch 02 | 06000/06880 | loss 4.6135 | ppl 100.84 | lr 0.0001671835 | 206.1s
Epoch 02 | 06100/06880 | loss 4.6099 | ppl 100.47 | lr 0.0001665382 | 209.5s
Epoch 02 | 06200/06880 | loss 4.6062 | ppl 100.10 | lr 0.0001659004 | 212.9s
Epoch 02 | 06300/06880 | loss 4.6027 | ppl 99.75 | lr 0.0001652698 | 216.2s
Epoch 02 | 06400/06880 | loss 4.5993 | ppl 99.41 | lr 0.0001646464 | 219.5s
Epoch 02 | 06500/06880 | loss 4.5960 | ppl 99.08 | lr 0.00016403 | 222.7s
Epoch 02 | 06600/06880 | loss 4.5925 | ppl 98.74 | lr 0.0001634204 | 225.9s
Epoch 02 | 06700/06880 | loss 4.5891 | ppl 98.41 | lr 0.0001628176 | 229.2s
Epoch 02 | 06800/06880 | loss 4.5858 | ppl 98.08 | lr 0.0001622214 | 232.7s
Epoch 02 complete | train loss 4.5832 | dev loss 4.3483 | train BLEU 10.68 | dev BLEU 7.80 | 247.8s
Epoch 03 | 00100/06880 | loss 4.2971 | ppl 73.49 | lr 0.0001611646 | 3.3s
Epoch 03 | 00200/06880 | loss 4.2909 | ppl 73.03 | lr 0.0001605863 | 6.7s
Epoch 03 | 00300/06880 | loss 4.2837 | ppl 72.51 | lr 0.0001600142 | 10.0s
Epoch 03 | 00400/06880 | loss 4.2834 | ppl 72.48 | lr 0.0001594482 | 13.5s
Epoch 03 | 00500/06880 | loss 4.2791 | ppl 72.18 | lr 0.0001588881 | 17.0s
Epoch 03 | 00600/06880 | loss 4.2811 | ppl 72.32 | lr 0.0001583339 | 20.7s
Epoch 03 | 00700/06880 | loss 4.2793 | ppl 72.19 | lr 0.0001577855 | 24.3s
Epoch 03 | 00800/06880 | loss 4.2780 | ppl 72.10 | lr 0.0001572427 | 27.8s
Epoch 03 | 00900/06880 | loss 4.2758 | ppl 71.94 | lr 0.0001567055 | 31.4s
Epoch 03 | 01000/06880 | loss 4.2736 | ppl 71.78 | lr 0.0001561738 | 35.1s
Epoch 03 | 01100/06880 | loss 4.2726 | ppl 71.70 | lr 0.0001556474 | 38.5s
Epoch 03 | 01200/06880 | loss 4.2707 | ppl 71.57 | lr 0.0001551263 | 41.7s
Epoch 03 | 01300/06880 | loss 4.2691 | ppl 71.46 | lr 0.0001546104 | 44.9s
Epoch 03 | 01400/06880 | loss 4.2667 | ppl 71.29 | lr 0.0001540996 | 48.2s
Epoch 03 | 01500/06880 | loss 4.2651 | ppl 71.17 | lr 0.0001535939 | 51.8s
Epoch 03 | 01600/06880 | loss 4.2637 | ppl 71.07 | lr 0.0001530931 | 55.3s
Epoch 03 | 01700/06880 | loss 4.2624 | ppl 70.98 | lr 0.0001525972 | 58.9s
Epoch 03 | 01800/06880 | loss 4.2609 | ppl 70.87 | lr 0.000152106 | 62.5s
Epoch 03 | 01900/06880 | loss 4.2589 | ppl 70.73 | lr 0.0001516196 | 66.1s
Epoch 03 | 02000/06880 | loss 4.2572 | ppl 70.61 | lr 0.0001511378 | 69.5s
Epoch 03 | 02100/06880 | loss 4.2560 | ppl 70.53 | lr 0.0001506606 | 72.8s
Epoch 03 | 02200/06880 | loss 4.2541 | ppl 70.39 | lr 0.0001501879 | 76.1s
Epoch 03 | 02300/06880 | loss 4.2526 | ppl 70.29 | lr 0.0001497195 | 79.4s
Epoch 03 | 02400/06880 | loss 4.2514 | ppl 70.21 | lr 0.0001492556 | 82.7s
Epoch 03 | 02500/06880 | loss 4.2502 | ppl 70.12 | lr 0.0001487959 | 86.0s
Epoch 03 | 02600/06880 | loss 4.2484 | ppl 69.99 | lr 0.0001483405 | 89.3s
Epoch 03 | 02700/06880 | loss 4.2465 | ppl 69.86 | lr 0.0001478892 | 92.6s
Epoch 03 | 02800/06880 | loss 4.2453 | ppl 69.77 | lr 0.000147442 | 95.9s
Epoch 03 | 02900/06880 | loss 4.2432 | ppl 69.63 | lr 0.0001469988 | 99.2s
Epoch 03 | 03000/06880 | loss 4.2409 | ppl 69.47 | lr 0.0001465596 | 102.5s
Epoch 03 | 03100/06880 | loss 4.2393 | ppl 69.36 | lr 0.0001461243 | 105.7s
Epoch 03 | 03200/06880 | loss 4.2376 | ppl 69.24 | lr 0.0001456929 | 109.1s
Epoch 03 | 03300/06880 | loss 4.2357 | ppl 69.11 | lr 0.0001452653 | 112.4s
Epoch 03 | 03400/06880 | loss 4.2343 | ppl 69.02 | lr 0.0001448414 | 115.7s
Epoch 03 | 03500/06880 | loss 4.2324 | ppl 68.89 | lr 0.0001444212 | 119.1s
Epoch 03 | 03600/06880 | loss 4.2310 | ppl 68.79 | lr 0.0001440046 | 122.4s
Epoch 03 | 03700/06880 | loss 4.2290 | ppl 68.65 | lr 0.0001435916 | 125.6s
Epoch 03 | 03800/06880 | loss 4.2275 | ppl 68.54 | lr 0.0001431822 | 129.0s
Epoch 03 | 03900/06880 | loss 4.2255 | ppl 68.41 | lr 0.0001427762 | 132.5s
Epoch 03 | 04000/06880 | loss 4.2244 | ppl 68.33 | lr 0.0001423737 | 136.1s
Epoch 03 | 04100/06880 | loss 4.2225 | ppl 68.20 | lr 0.0001419746 | 139.6s
Epoch 03 | 04200/06880 | loss 4.2210 | ppl 68.10 | lr 0.0001415788 | 143.2s
Epoch 03 | 04300/06880 | loss 4.2197 | ppl 68.01 | lr 0.0001411862 | 146.8s
Epoch 03 | 04400/06880 | loss 4.2183 | ppl 67.92 | lr 0.000140797 | 150.1s
Epoch 03 | 04500/06880 | loss 4.2166 | ppl 67.80 | lr 0.0001404109 | 153.4s
Epoch 03 | 04600/06880 | loss 4.2149 | ppl 67.69 | lr 0.000140028 | 156.7s
Epoch 03 | 04700/06880 | loss 4.2130 | ppl 67.56 | lr 0.0001396482 | 160.2s
Epoch 03 | 04800/06880 | loss 4.2115 | ppl 67.46 | lr 0.0001392715 | 163.6s
Epoch 03 | 04900/06880 | loss 4.2102 | ppl 67.37 | lr 0.0001388978 | 167.2s
Epoch 03 | 05000/06880 | loss 4.2084 | ppl 67.25 | lr 0.0001385271 | 170.8s
Epoch 03 | 05100/06880 | loss 4.2063 | ppl 67.11 | lr 0.0001381594 | 174.4s
Epoch 03 | 05200/06880 | loss 4.2045 | ppl 66.99 | lr 0.0001377946 | 177.9s
Epoch 03 | 05300/06880 | loss 4.2030 | ppl 66.89 | lr 0.0001374326 | 181.4s
Epoch 03 | 05400/06880 | loss 4.2013 | ppl 66.77 | lr 0.0001370735 | 184.9s
Epoch 03 | 05500/06880 | loss 4.1996 | ppl 66.66 | lr 0.0001367172 | 187.8s
Epoch 03 | 05600/06880 | loss 4.1979 | ppl 66.55 | lr 0.0001363636 | 191.1s
Epoch 03 | 05700/06880 | loss 4.1966 | ppl 66.46 | lr 0.0001360128 | 194.4s
Epoch 03 | 05800/06880 | loss 4.1949 | ppl 66.35 | lr 0.0001356647 | 197.8s
Epoch 03 | 05900/06880 | loss 4.1933 | ppl 66.24 | lr 0.0001353192 | 201.1s
Epoch 03 | 06000/06880 | loss 4.1921 | ppl 66.16 | lr 0.0001349764 | 204.3s
Epoch 03 | 06100/06880 | loss 4.1908 | ppl 66.07 | lr 0.0001346361 | 207.6s
Epoch 03 | 06200/06880 | loss 4.1895 | ppl 65.99 | lr 0.0001342984 | 211.0s
Epoch 03 | 06300/06880 | loss 4.1883 | ppl 65.91 | lr 0.0001339633 | 214.3s
Epoch 03 | 06400/06880 | loss 4.1871 | ppl 65.83 | lr 0.0001336306 | 217.5s
Epoch 03 | 06500/06880 | loss 4.1854 | ppl 65.72 | lr 0.0001333004 | 220.9s
Epoch 03 | 06600/06880 | loss 4.1841 | ppl 65.63 | lr 0.0001329727 | 224.1s
Epoch 03 | 06700/06880 | loss 4.1828 | ppl 65.55 | lr 0.0001326473 | 227.5s
Epoch 03 | 06800/06880 | loss 4.1815 | ppl 65.46 | lr 0.0001323243 | 230.9s
Epoch 03 complete | train loss 4.1803 | dev loss 4.0543 | train BLEU 13.67 | dev BLEU 10.86 | 245.0s
Epoch 04 | 00100/06880 | loss 4.0251 | ppl 55.99 | lr 0.0001317489 | 3.5s
Epoch 04 | 00200/06880 | loss 4.0117 | ppl 55.24 | lr 0.0001314324 | 6.8s
Epoch 04 | 00300/06880 | loss 4.0077 | ppl 55.02 | lr 0.0001311182 | 10.1s
Epoch 04 | 00400/06880 | loss 4.0065 | ppl 54.95 | lr 0.0001308062 | 13.4s
Epoch 04 | 00500/06880 | loss 4.0075 | ppl 55.01 | lr 0.0001304965 | 16.7s
Epoch 04 | 00600/06880 | loss 4.0073 | ppl 55.00 | lr 0.0001301889 | 20.0s
Epoch 04 | 00700/06880 | loss 4.0049 | ppl 54.87 | lr 0.0001298835 | 23.4s
Epoch 04 | 00800/06880 | loss 4.0082 | ppl 55.05 | lr 0.0001295803 | 26.7s
Epoch 04 | 00900/06880 | loss 4.0065 | ppl 54.96 | lr 0.0001292791 | 30.1s
Epoch 04 | 01000/06880 | loss 4.0044 | ppl 54.84 | lr 0.0001289801 | 33.4s
Epoch 04 | 01100/06880 | loss 4.0037 | ppl 54.80 | lr 0.0001286831 | 36.9s
Epoch 04 | 01200/06880 | loss 4.0024 | ppl 54.73 | lr 0.0001283881 | 40.5s
Epoch 04 | 01300/06880 | loss 4.0018 | ppl 54.70 | lr 0.0001280952 | 44.0s
Epoch 04 | 01400/06880 | loss 4.0007 | ppl 54.64 | lr 0.0001278043 | 47.2s
Epoch 04 | 01500/06880 | loss 4.0014 | ppl 54.67 | lr 0.0001275153 | 50.6s
Epoch 04 | 01600/06880 | loss 3.9999 | ppl 54.59 | lr 0.0001272283 | 54.0s
Epoch 04 | 01700/06880 | loss 3.9987 | ppl 54.52 | lr 0.0001269433 | 57.4s
Epoch 04 | 01800/06880 | loss 3.9982 | ppl 54.50 | lr 0.0001266601 | 61.0s
Epoch 04 | 01900/06880 | loss 3.9965 | ppl 54.41 | lr 0.0001263788 | 64.6s
Epoch 04 | 02000/06880 | loss 3.9946 | ppl 54.30 | lr 0.0001260994 | 68.1s
Epoch 04 | 02100/06880 | loss 3.9936 | ppl 54.25 | lr 0.0001258218 | 71.4s
Epoch 04 | 02200/06880 | loss 3.9938 | ppl 54.26 | lr 0.0001255461 | 75.0s
Epoch 04 | 02300/06880 | loss 3.9928 | ppl 54.21 | lr 0.0001252722 | 78.3s
Epoch 04 | 02400/06880 | loss 3.9924 | ppl 54.19 | lr 0.000125 | 81.5s
Epoch 04 | 02500/06880 | loss 3.9914 | ppl 54.13 | lr 0.0001247296 | 84.8s
Epoch 04 | 02600/06880 | loss 3.9908 | ppl 54.10 | lr 0.000124461 | 88.0s
Epoch 04 | 02700/06880 | loss 3.9900 | ppl 54.06 | lr 0.0001241941 | 91.3s
Epoch 04 | 02800/06880 | loss 3.9891 | ppl 54.00 | lr 0.0001239289 | 94.6s
Epoch 04 | 02900/06880 | loss 3.9887 | ppl 53.98 | lr 0.0001236653 | 98.0s
Epoch 04 | 03000/06880 | loss 3.9881 | ppl 53.95 | lr 0.0001234035 | 101.3s
Epoch 04 | 03100/06880 | loss 3.9876 | ppl 53.92 | lr 0.0001231433 | 104.6s
Epoch 04 | 03200/06880 | loss 3.9873 | ppl 53.91 | lr 0.0001228848 | 108.1s
Epoch 04 | 03300/06880 | loss 3.9863 | ppl 53.85 | lr 0.0001226279 | 111.7s
Epoch 04 | 03400/06880 | loss 3.9856 | ppl 53.82 | lr 0.0001223726 | 115.3s
Epoch 04 | 03500/06880 | loss 3.9851 | ppl 53.79 | lr 0.0001221188 | 118.8s
Epoch 04 | 03600/06880 | loss 3.9845 | ppl 53.76 | lr 0.0001218667 | 122.3s
Epoch 04 | 03700/06880 | loss 3.9840 | ppl 53.73 | lr 0.0001216161 | 125.5s
Epoch 04 | 03800/06880 | loss 3.9839 | ppl 53.72 | lr 0.000121367 | 128.8s
Epoch 04 | 03900/06880 | loss 3.9828 | ppl 53.67 | lr 0.0001211195 | 132.2s
Epoch 04 | 04000/06880 | loss 3.9818 | ppl 53.61 | lr 0.0001208734 | 135.7s
Epoch 04 | 04100/06880 | loss 3.9819 | ppl 53.62 | lr 0.0001206289 | 139.0s
Epoch 04 | 04200/06880 | loss 3.9810 | ppl 53.57 | lr 0.0001203859 | 142.2s
Epoch 04 | 04300/06880 | loss 3.9803 | ppl 53.53 | lr 0.0001201443 | 145.5s
Epoch 04 | 04400/06880 | loss 3.9790 | ppl 53.47 | lr 0.0001199041 | 148.7s
Epoch 04 | 04500/06880 | loss 3.9786 | ppl 53.44 | lr 0.0001196654 | 152.0s
Epoch 04 | 04600/06880 | loss 3.9777 | ppl 53.39 | lr 0.0001194281 | 155.2s
Epoch 04 | 04700/06880 | loss 3.9769 | ppl 53.35 | lr 0.0001191922 | 158.4s
Epoch 04 | 04800/06880 | loss 3.9761 | ppl 53.31 | lr 0.0001189577 | 161.8s
Epoch 04 | 04900/06880 | loss 3.9756 | ppl 53.28 | lr 0.0001187246 | 165.4s
Epoch 04 | 05000/06880 | loss 3.9747 | ppl 53.24 | lr 0.0001184929 | 168.9s
Epoch 04 | 05100/06880 | loss 3.9739 | ppl 53.19 | lr 0.0001182625 | 172.5s
Epoch 04 | 05200/06880 | loss 3.9732 | ppl 53.15 | lr 0.0001180334 | 176.0s
Epoch 04 | 05300/06880 | loss 3.9726 | ppl 53.12 | lr 0.0001178057 | 179.5s
Epoch 04 | 05400/06880 | loss 3.9719 | ppl 53.09 | lr 0.0001175793 | 182.8s
Epoch 04 | 05500/06880 | loss 3.9710 | ppl 53.04 | lr 0.0001173542 | 186.1s
Epoch 04 | 05600/06880 | loss 3.9701 | ppl 52.99 | lr 0.0001171303 | 189.1s
Epoch 04 | 05700/06880 | loss 3.9694 | ppl 52.96 | lr 0.0001169078 | 192.4s
Epoch 04 | 05800/06880 | loss 3.9690 | ppl 52.93 | lr 0.0001166865 | 195.9s
Epoch 04 | 05900/06880 | loss 3.9684 | ppl 52.90 | lr 0.0001164664 | 199.2s
Epoch 04 | 06000/06880 | loss 3.9678 | ppl 52.87 | lr 0.0001162476 | 202.7s
