
========================================================================
Trial: bs64_lr3em04_adamw
========================================================================
GPU: NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition
Train: 440,286, Dev: 1,166
Epoch 01 | 06200/06880 | loss 6.1232 | ppl 456.33 | lr 0.0002409658 | 213.0s
Epoch 01 | 06300/06880 | loss 6.1055 | ppl 448.32 | lr 0.0002390457 | 216.2s
Epoch 01 | 06400/06880 | loss 6.0880 | ppl 440.52 | lr 0.0002371708 | 219.5s
Epoch 01 | 06500/06880 | loss 6.0707 | ppl 432.99 | lr 0.0002353394 | 222.8s
Epoch 01 | 06600/06880 | loss 6.0539 | ppl 425.79 | lr 0.0002335497 | 226.1s
Epoch 01 | 06700/06880 | loss 6.0376 | ppl 418.89 | lr 0.0002318002 | 229.4s
Epoch 01 | 06800/06880 | loss 6.0212 | ppl 412.08 | lr 0.0002300895 | 232.8s
/data/student/i2311021/conda_envs/100-swing-drill-gpu/lib/python3.10/site-packages/torch/nn/modules/transformer.py:531: UserWarning: The PyTorch API of nested tensors is in prototype stage and will change in the near future. We recommend specifying layout=torch.jagged when constructing a nested tensor, as this layout receives active development, has better operator coverage, and works with torch.compile. (Triggered internally at /pytorch/aten/src/ATen/NestedTensorImpl.cpp:178.)
  output = torch._nested_tensor_from_mask(
Epoch 01 complete | train loss 6.0088 | dev loss 4.9383 | train BLEU 5.25 | dev BLEU 3.47 | 244.5s
Epoch 02 | 00100/06880 | loss 4.8670 | ppl 129.93 | lr 0.0002271033 | 3.5s
Epoch 02 | 00200/06880 | loss 4.8624 | ppl 129.34 | lr 0.0002254938 | 6.9s
Epoch 02 | 00300/06880 | loss 4.8504 | ppl 127.79 | lr 0.000223918 | 10.2s
Epoch 02 | 00400/06880 | loss 4.8457 | ppl 127.19 | lr 0.0002223748 | 13.6s
Epoch 02 | 00500/06880 | loss 4.8462 | ppl 127.25 | lr 0.0002208631 | 17.1s
Epoch 02 | 00600/06880 | loss 4.8443 | ppl 127.02 | lr 0.0002193817 | 20.6s
Epoch 02 | 00700/06880 | loss 4.8378 | ppl 126.19 | lr 0.0002179298 | 24.2s
Epoch 02 | 00800/06880 | loss 4.8345 | ppl 125.78 | lr 0.0002165064 | 27.7s
Epoch 02 | 00900/06880 | loss 4.8290 | ppl 125.09 | lr 0.0002151104 | 31.1s
Epoch 02 | 01000/06880 | loss 4.8240 | ppl 124.47 | lr 0.0002137411 | 34.7s
Epoch 02 | 01100/06880 | loss 4.8189 | ppl 123.82 | lr 0.0002123977 | 38.2s
Epoch 02 | 01200/06880 | loss 4.8148 | ppl 123.32 | lr 0.0002110793 | 41.6s
Epoch 02 | 01300/06880 | loss 4.8111 | ppl 122.86 | lr 0.0002097851 | 44.9s
Epoch 02 | 01400/06880 | loss 4.8067 | ppl 122.33 | lr 0.0002085144 | 48.1s
