epoch	train_loss	dev_loss	train_bleu	dev_bleu	learning_rate	seconds
1	6.825426846067312	6.184771990301978	0.6390875378752544	0.5830938042396457	1.6175503763860996e-05	484.28754711151123
2	5.917360528488589	5.911411173225902	1.2540264699037806	0.9801974744071387	1.1437808400534634e-05	483.22964334487915
3	5.728412185438213	5.761955089000191	1.3575719742008125	1.155718571134401	9.338931452342952e-06	481.4861934185028
4	5.617642950074414	5.660263495081277	1.8288754468506232	1.4454839886573518	8.087751881930498e-06	481.67890191078186
5	5.53938574916782	5.588171042946381	2.4329204267956293	1.7060516471423521	7.23390519725938e-06	482.23580741882324
6	5.478542039950912	5.530768814768984	2.5294346460759085	1.7238700670519056	6.603621758988034e-06	481.93740224838257
7	5.428033788608743	5.485026279284909	2.6465351451478045	1.9551455099584527	6.113765755766494e-06	482.8832755088806
8	5.385204769551111	5.443521135842823	2.8656677660217	2.1423112393893193	5.718904200267317e-06	481.9252219200134
