epoch	train_loss	dev_loss	train_bleu	dev_bleu	learning_rate	seconds
1	6.6132846099572395	5.651289008335091	1.7430289986657963	1.2937086105536149	7.624928516630234e-05	235.64204573631287
2	5.310024970944964	5.170365310724612	3.9287150713751444	3.0110832299183294	5.3916386601719215e-05	236.67280793190002
3	4.985786957674317	4.929170220352427	5.709509269169203	4.073031297647222	4.402254531628119e-05	233.63540053367615
4	4.812910312011325	4.789411896692782	6.242187964432227	4.557268880142537	3.812464258315117e-05	235.8658585548401
5	4.705385602462739	4.698248803730268	7.139901005263721	5.334254731287309	3.4099716973523676e-05	235.88581728935242
6	4.631292242393923	4.636246105766664	7.744624573176477	5.60757786363081	3.112864031823452e-05	234.81266903877258
7	4.578642455575712	4.595056495810258	8.13240806764935	5.717024369730183	2.8819520885211747e-05	235.27536869049072
8	4.539346840771001	4.557478045667877	8.574992086121922	6.036367078756781	2.6958193300859607e-05	234.32573080062866
