epoch	train_loss	dev_loss	train_bleu	dev_bleu	learning_rate	seconds
1	6.616340437102415	5.6372094252233405	1.9886151600470645	1.3119746885403853	7.624928516630234e-05	239.9740800857544
2	5.2893163951612605	5.11435863875364	4.405891127015262	3.2400365524333026	5.3916386601719215e-05	241.15402722358704
3	4.932650196043558	4.8269128969955934	5.923030395871035	4.598412882345753	4.402254531628119e-05	242.08106899261475
4	4.713817369058219	4.640320341643651	7.271403607411127	5.484389610205761	3.812464258315117e-05	239.90299224853516
5	4.560520138720901	4.508024591616593	8.818159349882816	6.709248955510395	3.4099716973523676e-05	238.57175302505493
6	4.443484724594883	4.40406760031631	9.782667862304766	7.501942551952357	3.112864031823452e-05	239.1443154811859
7	4.348412138000059	4.318815497773974	10.969228873535743	8.106294741624307	2.8819520885211747e-05	243.64671778678894
8	4.269401617565475	4.249987080618691	12.013569212935602	9.049537654498508	2.6958193300859607e-05	250.1790783405304
